run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
200065,none,65,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3326,0.5539640239840107,0.0003006614552014432,2,443,247,3934,458924,456493
200061,none,61,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3406,0.5672884743504331,0.0005871990604815032,11,424,279,4028,458303,455984
200064,none,64,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,0,3340,0.5562958027981346,0.0,0,464,221,3609,458280,455837
200068,none,68,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,3,3223,0.5368087941372418,0.000930809804529941,8,458,208,3903,458318,455745
200072,none,72,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3434,0.5719520319786808,0.0005824111822947001,8,427,375,4815,459524,457329
200084,none,84,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,4,3277,0.545802798134577,0.0012206286237412267,28,475,323,4797,459769,457365
200086,none,86,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3356,0.558960692871419,0.0005959475566150178,4,445,207,3638,459176,456735
200073,none,73,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3372,0.5616255829447035,0.0002965599051008304,9,429,199,3020,457480,455047
200075,none,75,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3199,0.5328114590273151,0.0006251953735542357,7,486,523,6689,461903,459621
200083,none,83,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3397,0.5657894736842105,0.00029437739181630853,5,469,223,3275,457346,454962
200082,none,82,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,0,3292,0.5483011325782812,0.0,0,490,537,7268,462746,460571
200078,none,78,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3235,0.5388074616922052,0.0006182380216383308,5,454,253,4287,459828,457312
200077,none,77,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3327,0.5541305796135909,0.00030057108506161706,6,450,236,3652,458733,456292
200085,none,85,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3326,0.5539640239840107,0.0003006614552014432,2,460,246,3215,457849,455417
200079,none,79,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3394,0.5652898067954697,0.0002946375957572186,1,415,231,3662,457874,455495
200081,none,81,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3281,0.546469020652898,0.00030478512648582747,5,441,245,4403,459019,456541
200080,none,80,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3377,0.5624583610926049,0.0002961208172934557,2,453,168,3579,458036,455577
200076,none,76,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3303,0.5501332445036642,0.0003027550711474417,2,490,291,4517,459521,457111
200074,none,74,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3369,0.5611259160559627,0.0005936479667557139,6,447,450,6344,461455,459270
200087,none,87,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3211,0.5348101265822784,0.0006228589224540642,8,413,252,4424,459348,456807
200089,none,89,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,4,3288,0.54763491005996,0.0012165450121654502,8,453,252,3837,458734,456270
300003,none,3,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,3,3366,0.5606262491672218,0.00089126559714795,20,480,724,9631,467361,465447
200088,none,88,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3353,0.5584610259826782,0.00029824038174768865,3,401,168,3320,457409,454926
200092,none,92,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3432,0.5716189207195204,0.0005827505827505828,33,460,460,6064,461267,459155
200098,none,98,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,0,3378,0.5626249167221852,0.0,0,461,257,4102,458947,456578
200091,none,91,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,10,3331,0.5547968021319121,0.003002101471029721,27,437,448,6573,461782,459557
200096,none,96,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3217,0.5358094603597602,0.00031084861672365556,7,492,250,4357,459185,456648
300000,none,0,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,3,3339,0.5561292471685543,0.0008984725965858042,15,454,504,6539,462714,460553
200099,none,99,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,2,3394,0.5652898067954697,0.0005892751915144372,10,444,509,7137,463194,461093
200097,none,97,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,0,3306,0.5506329113924051,0.0,0,477,316,4842,460031,457649
200090,none,90,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,6,3281,0.546469020652898,0.001828710758914965,50,443,331,4862,460166,457774
200095,none,95,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,0,3269,0.5444703530979347,0.0,0,465,494,7045,462261,460020
300001,none,1,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3209,0.534477015323118,0.0003116235587410408,4,463,834,9732,466653,464692
200094,none,94,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3340,0.5562958027981346,0.0002994011976047904,1,467,151,2863,457364,454851
200093,none,93,6.0,15.0,1.08,0.85,0.001,0.33,0.4,,,,0,500,24.0,False,,20000,20000.0,1,3404,0.5669553630912725,0.0002937720329024677,8,419,218,3354,457786,455404
300002,none,2,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3367,0.5607928047968022,0.000297000297000297,1,446,1028,11802,469928,468319
300012,none,12,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,0,3306,0.5506329113924051,0.0,0,453,703,8866,466606,464611
300011,none,11,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,2,3220,0.536309127248501,0.0006211180124223603,6,421,891,10034,467231,465338
300013,none,13,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,2,3402,0.5666222518321119,0.0005878894767783657,15,438,674,8435,466024,464096
300009,none,9,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,8,3292,0.5483011325782812,0.002430133657351154,38,462,668,8038,464897,462853
300015,none,15,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3348,0.5576282478347768,0.0002986857825567503,8,438,397,5644,461076,458817
300016,none,16,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3361,0.5597934710193204,0.0002975304968759298,1,458,1168,15874,475974,474499
300007,none,7,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,3,3327,0.5541305796135909,0.0009017132551848512,17,487,540,6703,462349,460212
300008,none,8,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3380,0.5629580279813458,0.0002958579881656805,1,423,656,8276,465261,463293
300010,none,10,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,4,3299,0.5494670219853431,0.0012124886329190664,22,438,425,5254,461022,458742
300017,none,17,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,1,3292,0.5483011325782812,0.00030376670716889426,2,452,278,4444,459797,457363
300018,none,18,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,0,3336,0.5556295802798135,0.0,0,470,562,7484,464126,462020
300005,none,5,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,4,3317,0.5524650233177881,0.0012059089538739825,18,437,1537,18912,480502,479352
300019,none,19,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,5,3361,0.5597934710193204,0.001487652484379649,43,462,648,7787,464532,462537
300004,none,4,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,5,3198,0.5326449033977348,0.0015634771732332708,23,388,746,9186,466438,464378
300014,none,14,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,6,3295,0.548800799467022,0.0018209408194233688,33,437,1155,12333,470431,468877
300006,none,6,6.0,15.0,1.08,0.85,0.001,0.33,0.45,,,,0,500,24.0,False,,20000,20000.0,2,3389,0.5644570286475683,0.0005901445854234287,12,451,531,5987,462585,460501
