run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
30,bounded,30,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,117,500,24.0,True,2400.0,20000,20000.0,19,3297,0.5491339107261826,0.005762814680012132,111,403,16306,0,730982,750787
29,bounded,29,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,105,500,24.0,True,2256.0,20000,20000.0,667,3144,0.5236508994003998,0.2121501272264631,755,447,14309,0,693565,710383
31,bounded,31,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,57,500,24.0,True,1680.0,20000,20000.0,554,3170,0.527981345769487,0.1747634069400631,620,339,18633,0,1027645,1046378
22,bounded,22,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,62,500,24.0,True,3936.0,20000,20000.0,4,3192,0.5316455696202531,0.0012531328320802004,38,384,15441,0,828361,845376
24,bounded,24,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,99,500,24.0,True,5736.0,20000,20000.0,551,3209,0.534477015323118,0.1717045808663135,621,365,15973,0,868852,889072
19,bounded,19,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,195,500,24.0,True,3336.0,20000,20000.0,116,3329,0.5544636908727515,0.03484529888855512,297,351,17757,0,865862,891569
25,bounded,25,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,42,500,24.0,True,3000.0,20000,20000.0,2165,3092,0.5149900066622252,0.7001940491591203,2203,240,17807,0,1453779,1471679
32,bounded,32,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,37,500,24.0,True,2736.0,20000,20000.0,35,3262,0.5433044636908727,0.01072961373390558,187,428,7982,0,554651,562537
35,bounded,35,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,133,500,24.0,True,4176.0,20000,20000.0,37,3347,0.5574616922051966,0.011054675829100687,88,380,13240,0,621204,640207
42,bounded,42,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,21,500,24.0,True,1968.0,20000,20000.0,2,3291,0.5481345769487008,0.0006077180188392585,17,434,10960,0,594703,604462
38,bounded,38,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,42,500,24.0,True,1992.0,20000,20000.0,3,3289,0.5478014656895404,0.0009121313469139556,34,413,13373,0,668444,681653
43,bounded,43,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,203,500,24.0,True,10728.0,20000,20000.0,787,3179,0.5294803464357095,0.24756212645486003,828,338,13583,0,770488,795813
40,bounded,40,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,107,500,24.0,True,2280.0,20000,20000.0,32,3292,0.5483011325782812,0.009720534629404616,126,413,13360,0,652281,668793
37,bounded,37,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,187,500,24.0,True,3240.0,20000,20000.0,230,3328,0.5542971352431713,0.06911057692307693,377,367,18219,0,851783,877501
47,bounded,47,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,133,500,24.0,True,7368.0,20000,20000.0,1071,3171,0.5281479013990673,0.33774834437086093,1135,354,14424,0,892305,913390
