run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
1300044,chronic,44,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,13824.0,20000,20000.0,1781,3093,0.5151565622918055,0.5758163595215001,1834,403,7057,236410,822454,854927
1300050,chronic,50,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,14640.0,20000,20000.0,1721,3058,0.5093271152564957,0.5627861347285807,1791,373,5970,201790,747107,796527
1300039,chronic,39,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,12,200,1584,500,24.0,False,4296.0,20000,20000.0,3010,3036,0.5056628914057295,0.9914361001317523,2987,167,7579,851886,1774893,1874458
1300045,chronic,45,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,9552.0,20000,20000.0,1697,3110,0.5179880079946703,0.5456591639871383,1752,336,10015,436404,1153299,1188937
1300036,chronic,36,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,12,200,1584,500,24.0,False,2208.0,20000,20000.0,3017,3044,0.5069953364423717,0.9911300919842313,2998,148,8011,928125,1897022,1999104
1300041,chronic,41,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,6552.0,20000,20000.0,2557,3084,0.513657561625583,0.829118028534371,2575,231,11228,587202,1378866,1440062
1300049,chronic,49,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,7656.0,20000,20000.0,2268,3068,0.5109926715522984,0.7392438070404173,2295,250,9358,560468,1337511,1396523
1300051,chronic,51,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,5088.0,20000,20000.0,1864,3110,0.5179880079946703,0.5993569131832798,1888,271,11403,594603,1394102,1455352
1300048,chronic,48,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,12,200,1584,500,24.0,False,4032.0,20000,20000.0,2988,3045,0.5071618920719521,0.9812807881773399,2949,172,9548,840827,1760464,1862094
1300037,chronic,37,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,8496.0,20000,20000.0,2303,3039,0.5061625582944703,0.7578150707469562,2345,263,9161,548754,1315626,1374426
1300047,chronic,47,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,5088.0,20000,20000.0,2859,3058,0.5093271152564957,0.9349247874427731,2844,236,11702,703278,1568641,1632648
1300043,chronic,43,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,1848.0,20000,20000.0,2714,3031,0.5048301132578281,0.8954140547674035,2721,165,10973,891221,1878727,1945245
