run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,shed_total,div_total
200028,bounded,28,6.0,15.0,1.08,0.85,0.001,1000,12,200,151,500,24.0,True,2808.0,20000,20000.0,1430,3124,0.5203197868087941,0.45774647887323944,1453,255,17547,1325508,1348056
200029,bounded,29,6.0,15.0,1.08,0.85,0.001,1000,48,200,66,500,24.0,True,4128.0,20000,20000.0,1669,3149,0.5244836775483012,0.5300095268339156,1695,296,17742,1161050,1180623
200044,bounded,44,6.0,15.0,1.08,0.85,0.001,1000,24,200,136,500,24.0,True,4248.0,20000,20000.0,922,3233,0.5384743504330446,0.28518403959171046,988,398,14777,699774,720200
200043,bounded,43,6.0,15.0,1.08,0.85,0.001,1000,12,200,103,500,24.0,True,2232.0,20000,20000.0,780,3152,0.524983344437042,0.24746192893401014,887,403,13315,670874,686894
200047,bounded,47,6.0,15.0,1.08,0.85,0.001,1000,24,200,181,500,24.0,True,5328.0,20000,20000.0,438,3277,0.545802798134577,0.13365883429966433,485,398,17622,757794,783873
200042,bounded,42,6.0,15.0,1.08,0.85,0.001,1000,48,200,87,500,24.0,True,5136.0,20000,20000.0,63,3285,0.5471352431712192,0.019178082191780823,147,388,16053,812417,832133
200040,bounded,40,6.0,15.0,1.08,0.85,0.001,1000,24,200,156,500,24.0,True,4728.0,20000,20000.0,363,3224,0.5369753497668222,0.11259305210918114,539,407,16119,700372,723306
200051,bounded,51,6.0,15.0,1.08,0.85,0.001,1000,12,200,115,500,24.0,True,2376.0,20000,20000.0,26,3336,0.5556295802798135,0.0077937649880095924,111,392,13164,718067,735155
200052,bounded,52,6.0,15.0,1.08,0.85,0.001,1000,24,200,141,500,24.0,True,4368.0,20000,20000.0,80,3269,0.5444703530979347,0.024472315692872438,183,426,15946,708785,730887
200048,bounded,48,6.0,15.0,1.08,0.85,0.001,1000,48,200,161,500,24.0,True,8688.0,20000,20000.0,870,3162,0.5266489007328448,0.27514231499051234,932,339,14640,797976,821321
200055,bounded,55,6.0,15.0,1.08,0.85,0.001,1000,12,200,97,500,24.0,True,2160.0,20000,20000.0,69,3291,0.5481345769487008,0.020966271649954422,101,410,15633,733969,751764
